"id","imageName","name","registryName","inventory","category","slot","visualChange","goldPrice","reputationPrice","classRequired","itemLvl","attackType","minimumDamage","maximumDamage","critChance","critDamage","hitrate","booleanhighBadEffectPrevention","hpRecoveryIncrease","elementIncreased","elementIncreasedAmount","allDefenceIncrease","rangedHitrateIncrease","damageIncreaseAmountPercentage","damageIncreaseProbability","allElementsIncrease","maxMPIncrease","rangedAttackIncrease","meleeAttackIncrease","meleeAttacksDodge","allAttackIncrease","allAttackIncreasePercentage","magicAttackIncrease","skillManaDecrease","MPRecoveryIncrease","booleannoImpactOnMorale","maximumHPIncrease","moraleIncrease","rangedAttackDodge","resistanceType","resistanceAmount","magicDefenceIncrease","criticalChanceIncrease","randomDefencePercentage","randomDefenceChance","randomDefenceType","attacksBelowType","attacksBelowLevel","attacksBelowPercentage","effectWhen","effectChance","effectName","resistanceAll","elementDecreased","elementDecreasedAmount","dodgeIncrease","attackLevelIncrease","defenceLevelIncrease","damageDecreasePercentage","allDefencesIncreasePercentage","booleanGeneratesResistanceToCertainEffect","booleanCertainMonsterGroupsMistakeYouAsAFriend","criticalHitsChanceDecreasePercentage","selfIncreasedDamageAgainst","selfIncreasedDamageAgainstAmount","criticalHitDamageIncreasePercentage","enemyElementalResistanceDecrease","criticalHitDamageDecreasePercentage","attackLeechHPAmount","attackLeechHPChance","attackLeechMPChance","attackLeechMPAmount","attackLeechMPChance2","attackLeechMPAmount2","meleeDamageDecreasePercentage","attackDecreaseMP","enemyResistanceDecreaseType","enemyResistanceReducedAmount","attackIncreasedDamageAgainst","attackIncreasedDamageAgainstAmount","concentrationIncreaseAmount","defenceIncreaseAmount","defenceIncreaseType","belowLevelNeverBadGeneralEffectLevel","belowLevelNeverBadGeneralEffectPercentage","magicAttackPowerDecrease","rangeDamageDecreasePercentage","magicDamageDecreasePercentage","movementSpeedIncreasePercentage","movementSpeedDecrease","movementSpeedIncrease","allAttacksHitrateIncreas","nextAttackPointsLevelMultiplier","HPRestore","MPRestore","HPRestorePercentage","MPRestorePercentage","HPDecrease","MPDecrease","booleanScrollSafe","booleanScrollLowerSPProtection","booleanScrollHigherSPProtection","summonName","summonAmount","booleanCancelEffectsForACertainGroup","additionalMPReceived","additionalMPReceivedMaximumPercentage","additionalHPReceivedMaximumPercentage","additionalHPReceived","effectResistancePercentage","effectResistanceName","goldEarnedIncreasePercentage","experienceEarnedIncreasePercentage","defenceAllyEffectRadius","defenceAllyEffectChance","defenceAllyEffectName","pvpAttackPowerIncrease","recoveryItemsEffectivenessIncrease","defenceBadEffectRemovalPercentage","defenceBadEffectRemovalLevel","badEffectRemovalLevel","badEffectRemovalPercentage","damageIncreaseForMonstersAboveLevelPercentage","damageIncreaseForMonstersAboveLevelAmount","movementSpeedIncreaseWhenHidden","pvpDefencePowerIncrease","skillUsedResetChance","skillCooldownDecreasePercentage","concentrationIncreasePlayerLevelMultiplier","hitrateIncreasePlayerLevelMultiplier","fameReceivedIncreasePercentage","resistsForcedMovementChance","defenceIncreasePlayerLevelMultiplier","defenceIncreasePlayerLevelMultiplierType","deathReputationLostDecreasePercentage","championExperienceIncreasePercentage","demonMaxDamageIncrease","angelMaxDamageIncrease","criticalDamageReceivedDecreaseChance","criticalDamageReceivedDecreasePercentage","targetDefenceIgnorePercentage","targetDefenceIgnoreChance","championExperienceLostOnDeathReducePercentage","effectRemoveName","effectRemoveChance","elementIncreasedAmount_1","elementIncreased_1","randomDefenceChance_1","randomDefencePercentage_1","randomDefenceType_1","resistanceAmount_1","resistanceType_1","selfIncreasedDamageAgainst_1","selfIncreasedDamageAgainstAmount_1","enemyResistanceDecreaseType_1","enemyResistanceReducedAmount_1","imageName_1","effectResistanceName_1","effectResistancePercentage_1","effectName_1","effectChance_1","effectWhen_1"
"2","2","Wooden Stick","wooden_stick_1","Wear","General weapon","main weapon","0","400",,"adventurer","4","Melee attack","29","43","4","70","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3","3","Wooden Sword","wooden_sword","Wear","General weapon","main weapon","2","910",,"adventurer","7","Melee attack","39","57","4","70","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","4","Wooden Hammer","wooden_hammer","Wear","General weapon","main weapon","1","1760",,"adventurer","10","Melee attack","48","72","4","70","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5","5","Heavy Wooden Hammer","heavy_wooden_hammer","Wear","General weapon","main weapon","1","2717",,"adventurer","13","Melee attack","58","86","4","70","68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6","6","Trainee's Wooden Sword","trainees_wooden_sword","Wear","General weapon","main weapon","2","3465",,"adventurer","15","Melee attack","64","96","4","70","76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7","7","Adventurer's Sword","adventurers_sword","Wear","General weapon","main weapon","3","4752",,"adventurer","18","Melee attack","74","110","4","70","88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8","8","Wooden Catapult","wooden_catapult","Wear","Crossbow and catapult","secondary weapon","0","70",,"adventurer","1","Ranged attack","22","24","2","70","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9","9","Heavy Wooden Catapult","heavy_wooden_catapult","Wear","Crossbow and catapult","secondary weapon","0","720",,"adventurer","6","Ranged attack","40","44","2","70","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10","10","Trainee's Wooden Catapult","trainees_wooden_catapult","Wear","Crossbow and catapult","secondary weapon","0","2376",,"adventurer","12","Ranged attack","62","68","2","70","65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11","11","Adventurer's Catapult","adventurers_catapult","Wear","Crossbow and catapult","secondary weapon","0","3872",,"adventurer","16","Ranged attack","76","84","2","70","81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
