name,level,defense,evasion,ranged_evasion,magic_defense,fire_resistance,water_resistance,light_resistance,dark_resistance,all_resistance,attack,morale,speed,below_level_x_damage_received,below_level_x_damage_received_reduced,close_attacks_chance,close_attacks_received,attacks_chance,attacks_multiplier,crit_chance_reduced,critical_damage_received_reduced,ranged_damage_received,random_ranged_damage_received_chance,random_ranged_damage_received_reduced,random_magic_damage_received,random_magic_damage_received_chance,pvp_defense_reduced,effect_chance,effect_name,fire_damage,water_damage,light_damage,dark_damage,all_element_damage,increase_damage,increase_damage_chance,catsy_damage,high_level_plant_damage,high_level_pet_damage,high_level_monster_damage,all_resistance_decrease,fire_resistance_decrease,water_resistance_decrease,light_resistance_decrease,dark_resistance_decrease,pvp_damage_increase,critical_damage_increase,mp_removal,hit_rate_increase,mp_increase,mp_usage_decrease,hp_recovery,mp_recovery,mp_steal,mp_steal_chance,hp
Magic stick for beginners,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic stick Red bead,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphere of Life,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,140,,,,,,
Magic stick of the spirit,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,
Ruby magic stick,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic stick of flames,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,-10,,,,,,,,,,,,,,,,,,,,,,,,,
Enchanted magic stick,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,10,,,,,
Magic stick Blue pearl,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic ice scepter,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,
Shining Magic Scepter,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,30,,,,
Magic scepter with opal,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic scepter of Loon,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,15,5,,,,,,,,,,,,,,,,,,,,
Legendary magic stick,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,200,10,
Magic stick restore-mana,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,50,,,
Coral magic stick,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic ball,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,47,,,,,,,,,,,,,,,,,,10,,,,,
Magic Wand of Honor,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
Crystal ball,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacred sphere,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,60,,,,,,,,,,,,,10,,,,,,,,,,,
Magic wand of intelligence,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,350,,,,,,300
Magic Wand of Darkness,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,
Magic staff of the soul,63,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,20,30,,,,,,,,,,,,,,,,,,,,
Whisper of the Ghost,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,7,,,,,,,,,,,,,,,
Red skull,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kais's magic stick,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,
Magic stick of Lord Mukraju,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,7,,,,,,,,,,,,,,,
Magyar's magic staff,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,,,,,,,,,,,,,,,,
Majestic,75,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,500
Staff of Aurelius,79,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,33,5,,,,,,,,,,,,,,900,,,,,,700
Honorable: Magic Wand Calvina sea flowers,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,10,,,,,,,,,,
Walking stick of the Desert Bandits,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,2000,,,,,,1000
Seraphim scepter,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,110,,,,,,,,,16,,16,,,,,,,,,,,,
Magic stick of corrupt Yertirand,85,,,,,,,,,,,,,,,,,,,,,,,,,,,1,electric shadow,,,,250,,60,12,,,,,,,,,18,,,,,,,,,,,
Magic stick of Yertirand,85,,,,,,,,,,,,,,,,,,,,,,,,,,,4,horror,,,250,,,40,18,,,,,,,,18,,,,,,,,,,,,
Scepter of Taracen,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatu's Infernal Wand,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,
Magic Wand Calvina marine flowers,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,
