name,level,defense,evasion,ranged_evasion,magic_defense,fire_resistance,water_resistance,light_resistance,dark_resistance,all_resistance,attack,morale,speed,below_level_x_damage_received,below_level_x_damage_received_reduced,close_attacks_chance,close_attacks_received,attacks_chance,attacks_multiplier,crit_chance_reduced,critical_damage_received_reduced,ranged_damage_received,random_ranged_damage_received_chance,random_ranged_damage_received_reduced,random_magic_damage_received,random_magic_damage_received_chance,pvp_defense_reduced,effect_chance,effect_name,fire_damage,water_damage,light_damage,dark_damage,all_element_damage,increase_damage,increase_damage_chance,catsy_damage,high_level_plant_damage,high_level_pet_damage,high_level_monster_damage,all_resistance_decrease,fire_resistance_decrease,water_resistance_decrease,light_resistance_decrease,dark_resistance_decrease,pvp_damage_increase,critical_damage_increase,mp_removal,hit_rate_increase,random_damage_reduced,random_damage_reduced_chance,magic_damage_increase,mp_increase
Magic gun for amateurs,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small magic gun,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Normal magic pistol,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enchanted magic pistol,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,8,,,,,,,,,,,,,,,,,
Golden magic gun,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,
Magic gun masterpiece,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic gun Plaz,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,5,17,,
Magic brass gun,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic bronze gun,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,
Magic gun. Noble spirit,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,
Magic shadow gun,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,
Phantom spell gun,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic ray gun,67,,,,,,,,,,,,,,,,,,,2,20,,,,,,,,,,,,,,40,10,,,,,,,,,,,,,,,,,
Star magic pistol,72,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
Renobir,74,,,,,,,,,,50,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic Wand of the Wizards of the Desert,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,3,,,,,,,,
Honorable: Magic gun Calvina blue horn,82,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,30,,,,,,
Magic Winged Gun,85,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
Magic gun Calvinas blue horn,88,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,
Honorable: Magic pistol of the great commander,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15,,,,,4,,,,,10,,,,,,,1000
Magic Gun of the Grand Commander,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,,,,,6,,,,,,,,,,,,1200
Magic Gun of the Forgotten Hero (+10),90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,20,,,,,6,,,,,,,,,,,,1000
Puff of Valaket,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,30,,,,,8,,,,,,,,,,,,1400
Breath of Valakus,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,30,,,,,10,,,,,,,,,,,,1600
Hell's magic gun sealed,25Hero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,30,,,,,10,,,,,,,,,,,,1600
Magic gun Paradise sealed,25Hero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,30,,,,,10,,,,,,,,,,,,1600
Underground Lorten magic gun,"45Hero
",,,,,,,,,,,,,,,,,,,,,,,,,,,5,vespers of loren,,,,,10,25,35,,,,,10,,,,,,,,,,,,
